r,g,b,distance
42,43,46,216
43,45,47,237
42,44,46,266
39,40,41,285
34,35,36,279
31,32,32,262
28,28,28,241
24,23,24,211
22,21,23,199
23,22,25,188
19,18,20,169
15,14,16,152
14,12,15,142
11,10,12,126
7,6,8,96
6,5,7,77
6,5,8,73
5,4,6,49
4,4,5,40
3,3,4,32
3,2,3,26
3,2,3,24
3,2,3,24
3,2,3,24
3,2,3,23
3,2,3,28
3,2,3,25
3,2,4,29
4,3,5,34
4,4,5,40
5,4,6,41
5,4,6,55
5,4,6,54
5,4,6,67
6,5,7,71
6,5,7,74
6,5,7,86
7,6,8,101
8,7,9,103
8,8,9,111
10,9,11,132
10,10,12,147
11,11,13,155
13,12,14,170
15,14,16,183
15,14,16,190
16,16,17,207
19,18,19,230
21,21,21,241
22,22,23,260
25,25,26,276
27,26,27,284
30,29,30,290
31,31,32,298
31,31,32,295
30,30,31,286
25,24,25,255
20,19,20,234
19,18,19,215
16,15,16,193
13,12,15,175
10,9,11,140
7,7,8,110
6,5,6,90
4,3,4,68
4,3,4,52
4,3,4,34
3,2,3,27
3,2,3,26
3,2,3,25
3,2,3,25
3,2,3,25
3,2,3,25
3,2,3,25
3,2,3,25
5,4,6,39
5,5,6,56
6,5,7,74
7,6,9,108
10,9,12,128
16,15,18,163
22,21,23,176
25,24,27,186
28,27,30,194
32,32,34,207
35,37,39,218
38,39,41,223
37,39,41,223
36,37,40,214
33,34,37,205
32,33,35,190
31,31,34,176
28,27,30,164
25,24,27,154
23,22,25,147
19,17,19,128
15,14,16,112
11,10,11,94
9,8,9,79
7,6,7,64
6,5,6,50
5,4,5,40
4,3,4,32
4,2,3,27
3,2,2,28
3,2,3,27
3,2,2,27
3,2,2,26
3,2,2,26
3,2,3,25
5,4,5,42
8,6,7,61
13,11,12,82
19,18,19,114
25,25,27,146
31,31,33,165
36,37,39,187
38,40,42,199
39,41,43,208
42,43,46,216
44,45,48,229
44,46,49,231
45,46,49,231
45,47,49,225
