millis,ax,ay,az,gx,gy,gz
2024-12-31 11:28:31.685369,-0.004883,0.364258,0.936523,-3.356934,0.793457,-0.854492
2024-12-31 11:28:31.693369,-0.004639,0.362427,0.935547,-3.356934,0.915527,-0.854492
2024-12-31 11:28:31.702369,-0.005981,0.360474,0.937500,-3.234863,0.915527,-0.671387
2024-12-31 11:28:31.710369,-0.005859,0.359497,0.936279,-3.479004,0.976562,-0.793457
2024-12-31 11:28:31.719369,-0.008301,0.360107,0.938354,-3.295898,0.793457,-0.732422
2024-12-31 11:28:31.727369,-0.009644,0.358521,0.938110,-3.173828,0.854492,-0.732422
2024-12-31 11:28:31.736369,-0.009644,0.358887,0.937622,-3.662109,0.793457,-0.732422
2024-12-31 11:28:31.744369,-0.009277,0.359253,0.937988,-3.601074,0.793457,-0.732422
2024-12-31 11:28:31.753369,-0.007324,0.359863,0.937744,-3.356934,0.915527,-0.732422
2024-12-31 11:28:31.761369,-0.006226,0.359863,0.938354,-3.540039,0.976562,-0.732422
2024-12-31 11:28:31.769369,-0.005249,0.359985,0.936279,-3.723145,0.854492,-0.671387
2024-12-31 11:28:31.778369,-0.003052,0.362305,0.937256,-3.906250,0.854492,-0.549316
2024-12-31 11:28:31.786369,-0.003052,0.362549,0.935791,-3.906250,0.854492,-0.671387
2024-12-31 11:28:31.795369,-0.004395,0.364502,0.935181,-4.150391,0.854492,-0.610352
2024-12-31 11:28:31.803369,-0.005371,0.364380,0.934814,-3.662109,0.854492,-0.671387
2024-12-31 11:28:31.812369,-0.007202,0.364624,0.934814,-3.723145,0.854492,-0.671387
2024-12-31 11:28:31.820369,-0.008423,0.363647,0.936768,-3.723145,0.915527,-0.671387
2024-12-31 11:28:31.829369,-0.007690,0.362793,0.935791,-3.723145,0.854492,-0.671387
2024-12-31 11:28:31.837369,-0.008545,0.360229,0.937378,-3.601074,0.732422,-0.671387
2024-12-31 11:28:31.846369,-0.005737,0.358765,0.937988,-4.089355,0.793457,-0.671387
2024-12-31 11:28:31.854369,-0.004883,0.358887,0.937988,-3.784180,0.854492,-0.671387
2024-12-31 11:28:31.863369,-0.004395,0.359497,0.937500,-3.540039,0.915527,-0.549316
2024-12-31 11:28:31.871369,-0.003906,0.361206,0.937622,-3.723145,0.854492,-0.610352
2024-12-31 11:28:31.880369,-0.005493,0.362793,0.936279,-3.845215,0.854492,-0.671387
2024-12-31 11:28:31.888369,-0.006470,0.367310,0.934692,-3.845215,1.037598,-0.610352
2024-12-31 11:28:31.896369,-0.006714,0.366577,0.934692,-4.455566,0.793457,-0.610352
2024-12-31 11:28:31.905369,-0.007324,0.367432,0.934692,-3.967285,0.976562,-0.671387
2024-12-31 11:28:31.913369,-0.006470,0.365356,0.934570,-3.479004,1.037598,-0.671387
2024-12-31 11:28:31.922369,-0.007080,0.364014,0.934814,-3.601074,0.915527,-0.549316
2024-12-31 11:28:31.930369,-0.006592,0.362305,0.936890,-3.601074,0.854492,-0.549316
2024-12-31 11:28:31.939369,-0.006714,0.362427,0.938599,-3.662109,0.732422,-0.610352
2024-12-31 11:28:31.947369,-0.006714,0.361816,0.937012,-3.784180,0.854492,-0.671387
2024-12-31 11:28:31.956369,-0.007080,0.361938,0.937256,-3.723145,0.915527,-0.671387
2024-12-31 11:28:31.964369,-0.007080,0.362305,0.937256,-3.479004,0.732422,-0.671387
2024-12-31 11:28:31.973369,-0.006714,0.363647,0.935913,-3.417969,0.793457,-0.671387
2024-12-31 11:28:31.981369,-0.006592,0.363281,0.935181,-3.479004,0.915527,-0.671387
2024-12-31 11:28:31.990369,-0.005737,0.364502,0.935547,-3.540039,0.915527,-0.610352
2024-12-31 11:28:31.998369,-0.004761,0.364868,0.935303,-3.784180,0.793457,-0.610352
2024-12-31 11:28:32.007369,-0.005005,0.365967,0.934937,-3.784180,0.793457,-0.732422
