millis,ax,ay,az,gx,gy,gz
2024-12-31 11:30:02.629520,-0.005615,0.350342,0.941772,-3.051758,0.976562,-0.732422
2024-12-31 11:30:02.637520,-0.006714,0.349243,0.939697,-3.356934,0.793457,-0.732422
2024-12-31 11:30:02.646520,-0.006958,0.351074,0.942139,-3.173828,0.854492,-0.732422
2024-12-31 11:30:02.654520,-0.006714,0.350586,0.940308,-3.295898,0.854492,-0.671387
2024-12-31 11:30:02.663520,-0.005127,0.352173,0.940552,-3.173828,0.793457,-0.732422
2024-12-31 11:30:02.671520,-0.005737,0.353271,0.939819,-3.112793,0.793457,-0.732422
2024-12-31 11:30:02.680520,-0.005615,0.354614,0.940308,-3.112793,0.793457,-0.732422
2024-12-31 11:30:02.688520,-0.005005,0.352905,0.938354,-2.868652,0.732422,-0.732422
2024-12-31 11:30:02.697520,-0.003418,0.354004,0.940186,-2.868652,0.793457,-0.732422
2024-12-31 11:30:02.705520,-0.003296,0.352417,0.939697,-3.479004,0.793457,-0.732422
2024-12-31 11:30:02.714520,-0.003540,0.350708,0.938232,-3.173828,0.793457,-0.732422
2024-12-31 11:30:02.722520,-0.005249,0.349609,0.942505,-2.990723,0.793457,-0.671387
2024-12-31 11:30:02.730520,-0.005981,0.345337,0.942627,-2.685547,0.915527,-0.671387
2024-12-31 11:30:02.739520,-0.007080,0.345947,0.942627,-2.868652,1.037598,-0.732422
2024-12-31 11:30:02.747520,-0.007935,0.347412,0.942261,-2.929688,0.915527,-0.793457
2024-12-31 11:30:02.756520,-0.007812,0.349243,0.940308,-3.417969,0.732422,-0.793457
2024-12-31 11:30:02.764520,-0.007324,0.351196,0.941650,-3.356934,0.915527,-0.793457
2024-12-31 11:30:02.773520,-0.006226,0.353027,0.939209,-3.112793,0.915527,-0.793457
2024-12-31 11:30:02.781520,-0.005371,0.353882,0.940063,-3.173828,0.854492,-0.793457
2024-12-31 11:30:02.790520,-0.003540,0.353760,0.939453,-3.051758,0.854492,-0.793457
2024-12-31 11:30:02.798520,-0.003174,0.352905,0.938843,-2.990723,0.854492,-0.671387
2024-12-31 11:30:02.807520,-0.003052,0.351929,0.940063,-3.234863,0.915527,-0.854492
2024-12-31 11:30:02.815520,-0.004639,0.353516,0.939209,-3.479004,0.854492,-0.793457
2024-12-31 11:30:02.824520,-0.006226,0.352905,0.940063,-3.112793,0.854492,-0.854492
2024-12-31 11:30:02.832520,-0.007690,0.352173,0.938843,-3.112793,0.793457,-0.671387
2024-12-31 11:30:02.841520,-0.007690,0.351318,0.939575,-2.929688,0.854492,-0.732422
2024-12-31 11:30:02.849520,-0.007935,0.349609,0.940918,-2.990723,0.793457,-0.793457
2024-12-31 11:30:02.857520,-0.007568,0.348755,0.940796,-3.051758,0.732422,-0.793457
2024-12-31 11:30:02.866520,-0.005615,0.348999,0.940796,-3.479004,0.793457,-0.915527
2024-12-31 11:30:02.874520,-0.005127,0.348877,0.941528,-3.112793,0.793457,-0.793457
2024-12-31 11:30:02.883520,-0.004150,0.350464,0.941284,-2.929688,0.854492,-0.732422
2024-12-31 11:30:02.891520,-0.004028,0.350830,0.940430,-2.929688,0.854492,-0.793457
2024-12-31 11:30:02.900520,-0.003052,0.352539,0.939575,-2.990723,0.854492,-0.732422
2024-12-31 11:30:02.908520,-0.005249,0.353882,0.937866,-3.112793,0.793457,-0.854492
2024-12-31 11:30:02.917520,-0.006226,0.353882,0.939209,-3.356934,0.793457,-0.732422
2024-12-31 11:30:02.925520,-0.007080,0.353516,0.939209,-2.990723,0.915527,-0.610352
2024-12-31 11:30:02.934520,-0.006714,0.352051,0.939331,-2.868652,0.854492,-0.671387
2024-12-31 11:30:02.942520,-0.007812,0.349976,0.940308,-2.929688,0.793457,-0.671387
2024-12-31 11:30:02.951520,-0.005981,0.348877,0.941650,-2.929688,0.793457,-0.793457
2024-12-31 11:30:02.959520,-0.005493,0.347778,0.941528,-3.051758,0.793457,-0.671387
2024-12-31 11:30:02.967520,-0.004517,0.348511,0.941895,-3.417969,0.732422,-0.793457
2024-12-31 11:30:02.976520,-0.005005,0.349365,0.941528,-2.990723,0.793457,-0.732422
2024-12-31 11:30:02.984520,-0.004883,0.350342,0.941040,-3.173828,0.854492,-0.793457
2024-12-31 11:30:02.993520,-0.004883,0.351807,0.938843,-3.051758,0.854492,-0.732422
2024-12-31 11:30:03.001520,-0.006226,0.351929,0.938965,-3.173828,0.793457,-0.793457
2024-12-31 11:30:03.010520,-0.006348,0.353149,0.940674,-3.112793,0.854492,-0.793457
2024-12-31 11:30:03.018520,-0.005615,0.353638,0.939575,-3.417969,0.793457,-0.793457
2024-12-31 11:30:03.027520,-0.005859,0.353271,0.938721,-3.051758,0.732422,-0.854492
2024-12-31 11:30:03.035520,-0.006348,0.350952,0.941162,-3.051758,0.854492,-0.793457
2024-12-31 11:30:03.044520,-0.005615,0.352051,0.939941,-3.112793,0.854492,-0.732422
2024-12-31 11:30:03.052520,-0.005981,0.351807,0.940308,-3.112793,0.793457,-0.671387
2024-12-31 11:30:03.061520,-0.007202,0.352783,0.941284,-3.112793,0.732422,-0.793457
2024-12-31 11:30:03.069520,-0.005981,0.350830,0.938965,-3.723145,0.732422,-0.793457
2024-12-31 11:30:03.078520,-0.005493,0.349609,0.940308,-3.234863,0.976562,-0.732422
2024-12-31 11:30:03.086520,-0.005737,0.349243,0.941040,-2.746582,0.915527,-0.732422
2024-12-31 11:30:03.094520,-0.003296,0.349243,0.941406,-2.685547,0.854492,-0.793457
2024-12-31 11:30:03.103520,-0.004395,0.350342,0.940796,-2.929688,0.915527,-0.854492
2024-12-31 11:30:03.111520,-0.004639,0.350708,0.941162,-2.929688,0.793457,-0.732422
2024-12-31 11:30:03.120520,-0.005127,0.352417,0.939209,-3.479004,0.854492,-0.732422
2024-12-31 11:30:03.128520,-0.005493,0.353271,0.939209,-3.234863,0.854492,-0.793457
2024-12-31 11:30:03.137520,-0.007324,0.353149,0.938965,-2.990723,0.793457,-0.671387
2024-12-31 11:30:03.145520,-0.007324,0.352783,0.939575,-3.112793,0.732422,-0.793457
2024-12-31 11:30:03.154520,-0.007446,0.351318,0.940186,-2.929688,0.793457,-0.854492
2024-12-31 11:30:03.162520,-0.006104,0.351196,0.940308,-2.868652,0.915527,-0.732422
2024-12-31 11:30:03.171520,-0.005249,0.350464,0.940796,-2.990723,0.915527,-0.793457
2024-12-31 11:30:03.179520,-0.005371,0.349609,0.940918,-3.295898,0.854492,-0.854492
2024-12-31 11:30:03.188520,-0.003906,0.350464,0.939697,-2.929688,0.854492,-0.854492
