millis,ax,ay,az,gx,gy,gz
2024-12-31 11:31:03.004211,-0.007568,0.259155,0.970703,-3.295898,0.732422,-0.671387
2024-12-31 11:31:03.012211,-0.009888,0.259155,0.968994,-3.173828,0.732422,-0.732422
2024-12-31 11:31:03.021211,-0.010376,0.263184,0.970093,-3.417969,0.671387,-0.671387
2024-12-31 11:31:03.029211,-0.008789,0.261719,0.971313,-2.929688,0.854492,-0.610352
2024-12-31 11:31:03.038211,-0.006470,0.261230,0.969849,-2.807617,0.854492,-0.732422
2024-12-31 11:31:03.046211,-0.004639,0.260742,0.971069,-3.051758,0.976562,-0.671387
2024-12-31 11:31:03.054211,-0.002808,0.259277,0.971313,-3.173828,0.854492,-0.671387
2024-12-31 11:31:03.063211,-0.001099,0.260498,0.972900,-3.051758,0.793457,-0.732422
2024-12-31 11:31:03.071211,-0.002075,0.259399,0.971069,-3.540039,0.793457,-0.793457
2024-12-31 11:31:03.080211,-0.003784,0.257324,0.972046,-2.929688,0.854492,-0.671387
2024-12-31 11:31:03.088211,-0.005249,0.255615,0.973389,-2.990723,0.732422,-0.671387
2024-12-31 11:31:03.097211,-0.007690,0.254639,0.974487,-2.807617,0.793457,-0.732422
2024-12-31 11:31:03.105211,-0.007935,0.256592,0.973145,-3.112793,0.793457,-0.671387
2024-12-31 11:31:03.114211,-0.009644,0.259399,0.973877,-3.173828,0.732422,-0.671387
2024-12-31 11:31:03.122211,-0.009277,0.261108,0.969482,-3.601074,0.854492,-0.671387
2024-12-31 11:31:03.131211,-0.007568,0.263062,0.970825,-3.601074,0.793457,-0.732422
2024-12-31 11:31:03.139211,-0.005737,0.263794,0.969238,-2.990723,0.793457,-0.732422
2024-12-31 11:31:03.148211,-0.003662,0.263794,0.969360,-2.807617,0.854492,-0.854492
2024-12-31 11:31:03.156211,-0.002319,0.261475,0.970459,-2.868652,0.976562,-0.732422
2024-12-31 11:31:03.165211,-0.000854,0.259888,0.971191,-2.746582,0.854492,-0.610352
2024-12-31 11:31:03.173211,-0.003174,0.257446,0.972046,-3.234863,0.793457,-0.671387
2024-12-31 11:31:03.181211,-0.003906,0.256958,0.972168,-3.295898,0.732422,-0.732422
2024-12-31 11:31:03.190211,-0.006592,0.258179,0.972046,-2.990723,0.915527,-0.732422
2024-12-31 11:31:03.198211,-0.008911,0.258545,0.973145,-3.173828,0.793457,-0.793457
2024-12-31 11:31:03.207211,-0.008667,0.258911,0.972412,-3.295898,0.793457,-0.671387
2024-12-31 11:31:03.215211,-0.009155,0.259399,0.971436,-3.173828,0.915527,-0.732422
2024-12-31 11:31:03.224211,-0.008789,0.260254,0.970215,-3.417969,0.976562,-0.793457
2024-12-31 11:31:03.232211,-0.007080,0.260986,0.970581,-3.417969,0.854492,-0.793457
2024-12-31 11:31:03.241211,-0.005005,0.261597,0.970581,-3.112793,0.915527,-0.671387
2024-12-31 11:31:03.249211,-0.002075,0.261475,0.969482,-3.112793,0.854492,-0.671387
2024-12-31 11:31:03.258211,-0.001465,0.262451,0.969604,-3.234863,0.854492,-0.793457
2024-12-31 11:31:03.266211,-0.001587,0.262085,0.969482,-3.112793,0.915527,-0.793457
2024-12-31 11:31:03.275211,-0.002197,0.261108,0.969849,-3.173828,0.976562,-0.671387
2024-12-31 11:31:03.283211,-0.003906,0.260498,0.969849,-3.234863,0.793457,-0.671387
2024-12-31 11:31:03.291211,-0.006348,0.260864,0.970337,-3.173828,0.793457,-0.732422
2024-12-31 11:31:03.300211,-0.008545,0.259766,0.970703,-3.173828,0.854492,-0.671387
2024-12-31 11:31:03.308211,-0.010254,0.259888,0.970337,-3.234863,0.915527,-0.671387
2024-12-31 11:31:03.317211,-0.008179,0.258423,0.970703,-3.051758,0.793457,-0.732422
2024-12-31 11:31:03.325211,-0.006104,0.258789,0.970337,-3.234863,0.793457,-0.732422
2024-12-31 11:31:03.334211,-0.003418,0.258423,0.971558,-3.356934,0.793457,-0.671387
2024-12-31 11:31:03.342211,-0.002319,0.257690,0.971436,-3.234863,0.793457,-0.671387
2024-12-31 11:31:03.351211,-0.001587,0.259033,0.970703,-3.173828,0.976562,-0.793457
2024-12-31 11:31:03.359211,-0.001831,0.259766,0.970581,-3.173828,0.915527,-0.793457
2024-12-31 11:31:03.368211,-0.003540,0.262695,0.970337,-3.234863,0.793457,-0.732422
2024-12-31 11:31:03.376211,-0.005859,0.261353,0.969116,-3.295898,0.854492,-0.671387
2024-12-31 11:31:03.385211,-0.008057,0.262207,0.970215,-3.417969,0.915527,-0.671387
2024-12-31 11:31:03.393211,-0.008911,0.261963,0.971436,-3.051758,0.976562,-0.610352
2024-12-31 11:31:03.402211,-0.007812,0.261108,0.971924,-3.112793,0.854492,-0.671387
2024-12-31 11:31:03.410211,-0.007690,0.258789,0.971558,-3.051758,0.854492,-0.732422
2024-12-31 11:31:03.418211,-0.006836,0.257568,0.971313,-2.990723,0.793457,-0.732422
