millis,ax,ay,az,gx,gy,gz
2024-12-31 11:32:08.025959,-0.005249,0.305420,0.957153,-2.929688,0.915527,-0.671387
2024-12-31 11:32:08.033959,-0.005737,0.306030,0.954712,-3.234863,0.915527,-0.671387
2024-12-31 11:32:08.042959,-0.005981,0.308105,0.955444,-3.540039,0.854492,-0.671387
2024-12-31 11:32:08.050959,-0.005615,0.306396,0.954102,-3.051758,0.854492,-0.732422
2024-12-31 11:32:08.058959,-0.004395,0.308594,0.955811,-3.051758,0.793457,-0.610352
2024-12-31 11:32:08.067959,-0.002441,0.307007,0.954346,-2.929688,0.854492,-0.732422
2024-12-31 11:32:08.075959,-0.002930,0.307861,0.956055,-3.112793,0.915527,-0.732422
2024-12-31 11:32:08.084959,-0.001953,0.306763,0.956665,-2.868652,0.915527,-0.732422
2024-12-31 11:32:08.092959,-0.001709,0.305298,0.955933,-3.295898,0.915527,-0.732422
2024-12-31 11:32:08.101959,-0.002563,0.306885,0.956177,-3.173828,0.793457,-0.732422
2024-12-31 11:32:08.109959,-0.003540,0.305908,0.953857,-2.929688,0.854492,-0.793457
2024-12-31 11:32:08.118959,-0.004761,0.306274,0.955688,-3.173828,0.915527,-0.671387
2024-12-31 11:32:08.126959,-0.006104,0.306030,0.954712,-3.356934,0.793457,-0.732422
2024-12-31 11:32:08.135959,-0.006958,0.307373,0.957275,-2.929688,0.793457,-0.793457
2024-12-31 11:32:08.143959,-0.005127,0.306274,0.954590,-3.295898,0.915527,-0.854492
2024-12-31 11:32:08.152959,-0.004517,0.306274,0.953857,-3.173828,0.793457,-0.793457
2024-12-31 11:32:08.160959,-0.004761,0.307739,0.954956,-3.173828,0.793457,-0.732422
2024-12-31 11:32:08.169959,-0.002075,0.307129,0.954590,-3.173828,0.854492,-0.793457
2024-12-31 11:32:08.177959,-0.001831,0.307861,0.954590,-2.990723,0.793457,-0.732422
2024-12-31 11:32:08.185959,-0.002686,0.309082,0.953735,-3.112793,0.793457,-0.671387
2024-12-31 11:32:08.194959,-0.090088,0.385498,1.031128,-2.746582,2.075195,-0.976562
2024-12-31 11:32:08.202959,-0.062256,0.451050,1.036621,13.244629,22.644043,-5.493164
2024-12-31 11:32:08.211959,-0.056519,0.414551,0.938965,43.579102,50.842285,-17.333984
2024-12-31 11:32:08.219959,-0.009033,0.359375,0.940918,69.885254,62.683105,-32.775879
2024-12-31 11:32:08.228959,0.069580,0.228149,0.912720,89.355469,63.842773,-38.513184
2024-12-31 11:32:08.236959,0.064941,0.158569,0.970581,87.768555,55.419922,-35.034180
2024-12-31 11:32:08.245959,0.081421,0.127563,0.970215,65.063477,46.813965,-28.503418
2024-12-31 11:32:08.253959,0.067871,0.184814,0.989014,42.602539,42.297363,-17.272949
2024-12-31 11:32:08.262959,0.084961,0.225830,0.949341,27.343750,39.978027,-12.145996
2024-12-31 11:32:08.270959,0.095459,0.249878,0.936523,26.000977,36.254883,-10.803223
2024-12-31 11:32:08.279959,0.102417,0.231323,0.947876,32.653809,30.029297,-12.207031
2024-12-31 11:32:08.287959,0.147949,0.182739,0.953125,37.231445,24.047852,-13.610840
2024-12-31 11:32:08.296959,0.134888,0.155762,0.975586,33.630371,19.714355,-11.535645
2024-12-31 11:32:08.304959,0.033447,0.201050,1.049072,22.399902,16.174316,-7.690430
2024-12-31 11:32:08.312959,0.115234,0.155396,0.954590,11.718750,16.296387,-5.615234
2024-12-31 11:32:08.321959,0.085571,0.210083,0.981689,6.530762,14.648438,-2.563477
