millis,mx,my,mz
2025-04-14 12:48:46.106201,-27.233887,18.444824,-154.174805
2025-04-14 12:48:46.119201,-27.258301,18.615723,-154.223633
2025-04-14 12:48:46.132201,-28.051758,18.188477,-155.615234
2025-04-14 12:48:46.145201,-28.173828,18.542480,-155.688477
2025-04-14 12:48:46.158201,-27.966309,18.627930,-155.505371
2025-04-14 12:48:46.171201,-28.564453,18.835449,-155.871582
2025-04-14 12:48:46.184201,-28.454590,18.469238,-156.298828
2025-04-14 12:48:46.197201,-28.857422,18.859863,-158.068848
2025-04-14 12:48:46.210201,-28.894043,18.762207,-157.543945
2025-04-14 12:48:46.223201,-28.808594,17.785645,-157.080078
2025-04-14 12:48:46.236201,-29.284668,17.761230,-158.251953
2025-04-14 12:48:46.248201,-30.017090,17.468262,-158.752441
2025-04-14 12:48:46.261201,-30.017090,17.504883,-157.409668
2025-04-14 12:48:46.274201,-30.041504,17.956543,-158.605957
2025-04-14 12:48:46.287201,-30.163574,17.968750,-159.814453
2025-04-14 12:48:46.300201,-29.638672,17.907715,-159.240723
2025-04-14 12:48:46.313201,-29.907227,18.188477,-157.543945
2025-04-14 12:48:46.326201,-30.065918,18.029785,-158.056641
2025-04-14 12:48:46.339201,-29.675293,17.736816,-157.910156
2025-04-14 12:48:46.352201,-30.444336,18.127441,-158.752441
2025-04-14 12:48:46.365201,-30.285645,17.675781,-158.471680
2025-04-14 12:48:46.377201,-30.407715,18.041992,-159.216309
2025-04-14 12:48:46.390201,-30.578613,17.578125,-159.191895
2025-04-14 12:48:46.403201,-31.005859,17.773438,-158.300781
2025-04-14 12:48:46.416201,-30.932617,18.530273,-158.728027
2025-04-14 12:48:46.429201,-30.725098,18.017578,-158.959961
2025-04-14 12:48:46.442201,-30.834961,18.652344,-159.106445
2025-04-14 12:48:46.455201,-31.518555,18.347168,-159.338379
2025-04-14 12:48:46.468201,-31.237793,18.383789,-159.484863
2025-04-14 12:48:46.481201,-31.433105,18.383789,-160.021973
2025-04-14 12:48:46.494201,-31.982422,17.590332,-160.705566
2025-04-14 12:48:46.506201,-31.860352,17.810059,-160.656738
2025-04-14 12:48:46.519201,-32.861328,18.188477,-160.131836
2025-04-14 12:48:46.532201,-32.629395,18.078613,-160.180664
2025-04-14 12:48:46.545201,-32.946777,18.225098,-161.437988
2025-04-14 12:48:46.558201,-33.886719,18.359375,-162.304688
2025-04-14 12:48:46.571201,-34.289551,18.188477,-163.171387
2025-04-14 12:48:46.584201,-35.449219,18.579102,-163.012695
2025-04-14 12:48:46.597201,-35.644531,18.041992,-164.038086
2025-04-14 12:48:46.610201,-35.656738,17.810059,-164.868164
2025-04-14 12:48:46.623201,-35.705566,17.883301,-164.477539
2025-04-14 12:48:46.635201,-35.937500,18.298340,-163.269043
2025-04-14 12:48:46.648201,-36.218262,18.176270,-164.562988
