millis,mx,my,mz
2025-04-14 12:48:06.359022,-67.980957,36.743164,-149.218750
2025-04-14 12:48:06.371022,-70.056152,37.353516,-149.816895
2025-04-14 12:48:06.384022,-72.253418,37.927246,-149.523926
2025-04-14 12:48:06.397022,-73.889160,38.769531,-148.266602
2025-04-14 12:48:06.410022,-74.633789,38.623047,-147.595215
2025-04-14 12:48:06.423022,-74.267578,37.963867,-145.556641
2025-04-14 12:48:06.436022,-73.498535,37.878418,-143.078613
2025-04-14 12:48:06.449022,-71.862793,37.841797,-141.735840
2025-04-14 12:48:06.462022,-71.386719,36.706543,-140.759277
2025-04-14 12:48:06.475022,-71.032715,36.010742,-137.609863
2025-04-14 12:48:06.488022,-70.922852,34.814453,-137.561035
2025-04-14 12:48:06.500022,-72.351074,34.069824,-138.220215
2025-04-14 12:48:06.513022,-72.387695,33.764648,-137.658691
2025-04-14 12:48:06.526022,-72.851562,33.679199,-136.877441
2025-04-14 12:48:06.539022,-72.961426,33.508301,-137.915039
2025-04-14 12:48:06.552022,-73.852539,33.776855,-138.598633
2025-04-14 12:48:06.565022,-74.353027,33.544922,-140.185547
2025-04-14 12:48:06.578022,-74.670410,34.106445,-141.784668
2025-04-14 12:48:06.591022,-73.669434,33.813477,-142.358398
2025-04-14 12:48:06.604022,-73.693848,34.204102,-142.456055
2025-04-14 12:48:06.617022,-72.766113,34.777832,-140.869141
2025-04-14 12:48:06.629022,-71.508789,33.813477,-138.854980
2025-04-14 12:48:06.642022,-69.372559,34.741211,-136.450195
2025-04-14 12:48:06.655022,-66.711426,35.119629,-135.034180
2025-04-14 12:48:06.668022,-64.111328,34.497070,-131.091309
2025-04-14 12:48:06.681022,-62.524414,34.643555,-128.588867
2025-04-14 12:48:06.694022,-61.230469,34.460449,-127.392578
2025-04-14 12:48:06.707022,-59.448242,34.289551,-125.781250
2025-04-14 12:48:06.720022,-58.386230,33.337402,-124.572754
2025-04-14 12:48:06.733022,-58.447266,33.630371,-123.669434
2025-04-14 12:48:06.746022,-58.129883,33.264160,-123.596191
2025-04-14 12:48:06.758022,-58.374023,32.714844,-123.913574
2025-04-14 12:48:06.771022,-58.288574,33.203125,-124.462891
2025-04-14 12:48:06.784022,-59.924316,32.751465,-124.987793
2025-04-14 12:48:06.797022,-60.375977,32.995605,-126.245117
2025-04-14 12:48:06.810022,-61.779785,33.288574,-127.258301
2025-04-14 12:48:06.823022,-62.963867,33.093262,-128.027344
2025-04-14 12:48:06.836022,-63.964844,33.178711,-128.845215
2025-04-14 12:48:06.849022,-65.661621,33.984375,-130.236816
2025-04-14 12:48:06.862022,-66.784668,33.764648,-131.787109
2025-04-14 12:48:06.875022,-67.395020,33.996582,-132.312012
2025-04-14 12:48:06.887022,-67.175293,34.069824,-131.738281
2025-04-14 12:48:06.900022,-67.272949,34.484863,-133.251953
2025-04-14 12:48:06.913022,-66.894531,34.301758,-133.435059
2025-04-14 12:48:06.926022,-66.625977,34.826660,-132.800293
2025-04-14 12:48:06.939022,-65.844727,35.632324,-132.775879
2025-04-14 12:48:06.952022,-64.782715,35.668945,-131.542969
2025-04-14 12:48:06.965022,-63.549805,36.071777,-129.980469
2025-04-14 12:48:06.978022,-62.768555,35.986328,-129.858398
2025-04-14 12:48:06.991022,-60.974121,36.914062,-128.686523
2025-04-14 12:48:07.004022,-59.338379,36.828613,-127.355957
2025-04-14 12:48:07.016022,-58.178711,36.376953,-126.672363
2025-04-14 12:48:07.029022,-57.409668,37.133789,-126.379395
2025-04-14 12:48:07.042022,-57.702637,37.646484,-127.221680
2025-04-14 12:48:07.055022,-57.666016,37.609863,-128.173828
2025-04-14 12:48:07.068022,-59.167480,38.366699,-129.797363
2025-04-14 12:48:07.081022,-60.998535,38.281250,-131.469727
2025-04-14 12:48:07.094022,-62.524414,37.988281,-133.825684
2025-04-14 12:48:07.107022,-64.013672,38.281250,-136.901855
2025-04-14 12:48:07.120022,-65.783691,37.988281,-140.173340
2025-04-14 12:48:07.133022,-68.212891,37.878418,-144.689941
2025-04-14 12:48:07.145022,-70.788574,37.707520,-147.143555
2025-04-14 12:48:07.158022,-72.912598,36.926270,-151.220703
2025-04-14 12:48:07.171022,-74.938965,37.060547,-153.576660
2025-04-14 12:48:07.184022,-76.513672,37.536621,-156.079102
2025-04-14 12:48:07.197022,-78.063965,37.756348,-157.531738
2025-04-14 12:48:07.210022,-78.979492,38.000488,-158.459473
2025-04-14 12:48:07.223022,-79.907227,38.732910,-158.386230
2025-04-14 12:48:07.236022,-80.664062,39.843750,-156.872559
2025-04-14 12:48:07.249022,-81.835938,41.186523,-156.494141
2025-04-14 12:48:07.262022,-82.482910,42.797852,-153.845215
2025-04-14 12:48:07.274022,-83.081055,44.494629,-152.783203
2025-04-14 12:48:07.287022,-84.130859,46.826172,-150.866699
2025-04-14 12:48:07.300022,-84.912109,49.694824,-149.340820
2025-04-14 12:48:07.313022,-85.034180,52.392578,-146.179199
2025-04-14 12:48:07.326022,-86.181641,55.200195,-143.762207
2025-04-14 12:48:07.339022,-86.767578,58.654785,-141.003418
2025-04-14 12:48:07.352022,-87.329102,60.998535,-137.268066
2025-04-14 12:48:07.365022,-87.219238,63.354492,-133.581543
2025-04-14 12:48:07.378022,-86.511230,66.333008,-130.371094
2025-04-14 12:48:07.391022,-85.815430,67.993164,-127.124023
2025-04-14 12:48:07.403022,-83.764648,69.360352,-124.145508
2025-04-14 12:48:07.416022,-82.458496,71.569824,-120.629883
