millis,mx,my,mz
2025-04-14 12:50:58.629908,-183.728027,1.660156,-193.090820
2025-04-14 12:50:58.642908,-184.948730,1.000977,-193.164062
2025-04-14 12:50:58.655908,-185.522461,0.561523,-194.299316
2025-04-14 12:50:58.668908,-186.254883,0.500488,-194.079590
2025-04-14 12:50:58.681908,-186.669922,-0.012207,-194.006348
2025-04-14 12:50:58.694908,-185.717773,0.415039,-194.677734
2025-04-14 12:50:58.706908,-184.960938,0.158691,-194.787598
2025-04-14 12:50:58.719908,-184.863281,0.720215,-194.970703
2025-04-14 12:50:58.732908,-185.229492,1.342773,-195.385742
2025-04-14 12:50:58.745908,-184.680176,1.196289,-196.203613
2025-04-14 12:50:58.758908,-184.399414,0.927734,-195.104980
2025-04-14 12:50:58.771908,-184.716797,1.293945,-195.837402
2025-04-14 12:50:58.784908,-185.241699,1.489258,-195.947266
2025-04-14 12:50:58.797908,-185.778809,0.927734,-196.630859
2025-04-14 12:50:58.810908,-186.889648,0.830078,-196.093750
2025-04-14 12:50:58.823908,-187.243652,0.500488,-196.936035
2025-04-14 12:50:58.836908,-187.524414,0.622559,-197.521973
2025-04-14 12:50:58.848908,-186.853027,0.207520,-198.742676
2025-04-14 12:50:58.861908,-185.839844,1.098633,-197.497559
2025-04-14 12:50:58.874908,-184.838867,1.928711,-197.900391
2025-04-14 12:50:58.887908,-184.643555,2.014160,-198.242188
2025-04-14 12:50:58.900908,-184.008789,2.685547,-197.619629
2025-04-14 12:50:58.913908,-185.058594,2.612305,-196.789551
2025-04-14 12:50:58.926908,-185.510254,2.624512,-197.644043
2025-04-14 12:50:58.939908,-186.059570,3.552246,-197.229004
2025-04-14 12:50:58.952908,-188.073730,3.430176,-198.266602
2025-04-14 12:50:58.965908,-188.879395,2.746582,-197.631836
2025-04-14 12:50:58.978908,-190.063477,2.673340,-197.570801
2025-04-14 12:50:58.990908,-191.015625,2.160645,-195.434570
2025-04-14 12:50:59.003908,-191.931152,2.062988,-196.777344
2025-04-14 12:50:59.016908,-192.956543,1.696777,-196.142578
2025-04-14 12:50:59.029908,-194.250488,1.660156,-196.057129
2025-04-14 12:50:59.042908,-195.031738,2.087402,-195.739746
2025-04-14 12:50:59.055908,-196.667480,1.745605,-195.642090
2025-04-14 12:50:59.068908,-198.120117,1.245117,-195.080566
2025-04-14 12:50:59.081908,-199.243164,0.622559,-193.273926
2025-04-14 12:50:59.094908,-200.183105,1.354980,-194.921875
2025-04-14 12:50:59.107908,-200.549316,1.428223,-193.579102
2025-04-14 12:50:59.119908,-201.000977,1.013184,-194.262695
2025-04-14 12:50:59.132908,-202.416992,1.123047,-194.189453
2025-04-14 12:50:59.145908,-202.978516,1.489258,-195.837402
2025-04-14 12:50:59.158908,-203.186035,1.977539,-195.751953
2025-04-14 12:50:59.171908,-203.369141,1.867676,-194.323730
2025-04-14 12:50:59.184908,-204.492188,2.758789,-195.556641
2025-04-14 12:50:59.197908,-204.797363,3.234863,-195.654297
2025-04-14 12:50:59.210908,-205.053711,3.515625,-197.375488
2025-04-14 12:50:59.223908,-204.858398,3.771973,-197.741699
2025-04-14 12:50:59.236908,-205.639648,4.040527,-198.266602
2025-04-14 12:50:59.249908,-207.629395,4.772949,-199.108887
2025-04-14 12:50:59.261908,-210.156250,5.371094,-201.232910
2025-04-14 12:50:59.274908,-211.645508,5.676270,-202.026367
2025-04-14 12:50:59.287908,-211.706543,7.067871,-202.636719
2025-04-14 12:50:59.300908,-211.987305,8.679199,-205.700684
2025-04-14 12:50:59.313908,-213.989258,11.157227,-207.788086
2025-04-14 12:50:59.326908,-217.382812,13.830566,-211.706543
2025-04-14 12:50:59.339908,-223.291016,16.613770,-214.318848
2025-04-14 12:50:59.352908,-229.003906,19.848633,-219.274902
2025-04-14 12:50:59.365908,-232.653809,23.645020,-225.964355
