millis,mx,my,mz
2025-04-14 12:49:49.885472,-30.468750,22.082520,-120.605469
2025-04-14 12:49:49.898472,-30.041504,22.009277,-120.544434
2025-04-14 12:49:49.910472,-29.931641,21.582031,-120.715332
2025-04-14 12:49:49.923472,-30.480957,21.789551,-120.312500
2025-04-14 12:49:49.936472,-29.821777,22.595215,-119.384766
2025-04-14 12:49:49.949472,-30.285645,22.448730,-119.567871
2025-04-14 12:49:49.962472,-29.370117,22.680664,-119.396973
2025-04-14 12:49:49.975472,-28.784180,22.729492,-119.055176
2025-04-14 12:49:49.988472,-28.784180,22.607422,-118.188477
2025-04-14 12:49:50.001472,-28.332520,22.741699,-117.724609
2025-04-14 12:49:50.014472,-28.039551,22.167969,-116.003418
2025-04-14 12:49:50.027472,-27.441406,22.375488,-116.040039
2025-04-14 12:49:50.040472,-26.940918,22.424316,-115.368652
2025-04-14 12:49:50.052472,-26.501465,22.241211,-115.332031
2025-04-14 12:49:50.065472,-26.611328,22.192383,-114.270020
2025-04-14 12:49:50.078472,-26.452637,22.729492,-114.575195
2025-04-14 12:49:50.091472,-26.342773,23.352051,-113.537598
2025-04-14 12:49:50.104472,-26.403809,23.217773,-114.941406
2025-04-14 12:49:50.117472,-26.611328,23.352051,-114.025879
2025-04-14 12:49:50.130472,-26.293945,24.035645,-112.805176
2025-04-14 12:49:50.143472,-26.293945,23.803711,-112.243652
2025-04-14 12:49:50.156472,-25.878906,23.364258,-112.670898
2025-04-14 12:49:50.169472,-25.732422,23.803711,-111.364746
2025-04-14 12:49:50.181472,-25.915527,23.999023,-110.168457
2025-04-14 12:49:50.194472,-25.854492,23.937988,-110.522461
2025-04-14 12:49:50.207472,-26.171875,24.035645,-110.632324
2025-04-14 12:49:50.220472,-26.257324,24.328613,-109.790039
2025-04-14 12:49:50.233472,-26.306152,24.169922,-109.741211
2025-04-14 12:49:50.246472,-26.330566,23.925781,-109.252930
2025-04-14 12:49:50.259472,-27.197266,23.986816,-109.826660
2025-04-14 12:49:50.272472,-26.416016,24.084473,-110.473633
2025-04-14 12:49:50.285472,-26.171875,23.486328,-108.911133
2025-04-14 12:49:50.298472,-26.379395,23.583984,-108.728027
2025-04-14 12:49:50.311472,-26.135254,23.132324,-109.411621
2025-04-14 12:49:50.323472,-26.025391,22.595215,-107.983398
2025-04-14 12:49:50.336472,-26.196289,23.059082,-108.850098
2025-04-14 12:49:50.349472,-26.330566,22.900391,-109.411621
2025-04-14 12:49:50.362472,-27.258301,22.680664,-109.716797
2025-04-14 12:49:50.375472,-27.331543,22.924805,-110.607910
2025-04-14 12:49:50.388472,-27.941895,23.181152,-111.083984
2025-04-14 12:49:50.401472,-28.125000,23.095703,-111.022949
2025-04-14 12:49:50.414472,-28.576660,22.607422,-111.962891
2025-04-14 12:49:50.427472,-28.625488,22.302246,-111.791992
2025-04-14 12:49:50.440472,-28.833008,22.595215,-112.524414
2025-04-14 12:49:50.452472,-29.541016,22.546387,-112.304688
2025-04-14 12:49:50.465472,-30.322266,22.241211,-112.902832
2025-04-14 12:49:50.478472,-30.065918,21.936035,-113.977051
2025-04-14 12:49:50.491472,-29.992676,22.692871,-114.465332
2025-04-14 12:49:50.504472,-30.065918,22.204590,-113.720703
